id,attribution_text,photo_url
18427,CC BY-SA 3.0,w
18541,CC BY-SA 3.0 nl,w
18711,CC BY-SA 4.0,w
18895,Public domain,w
18935,CC BY-SA 3.0 nl,w
19000,CC BY-SA 4.0,w
19173,FAL,w
19206,CC BY-SA 2.0,w
19232,CC BY-SA 2.0,w
19268,CC-BY-SA-3.0,w
19270,CC BY 3.0,w
19284,CC BY-SA 3.0,w
19341,Public domain,w
19427,CC BY 2.0,w
19579,CC BY-SA 3.0,w
19713,Public domain,w
19736,CC BY-SA 4.0,w
19964,CC BY-SA 2.0,w
21654,CC BY 2.0,w
21687,OGL,w
21717,CC BY 3.0,w
21720,CC BY 2.0,w
21721,CC BY-SA 3.0,w
21725,CC BY 2.0,w
21726,OGL,w
21733,CC BY 2.0,w
21753,Public domain,w
21792,Public domain,w
21796,CC BY-SA 2.5,w
21807,Attribution,w
21831,CC-BY-SA-3.0,w
21885,CC BY-SA 3.0 de,w
21924,Public domain,w
21953,Public domain,w
21954,CC BY-SA 4.0,w
21965,CC BY-SA 3.0,w
21966,Public domain,w
21989,CC BY-SA 4.0,w
21994,CC0,w
22010,CC BY 3.0,w
22053,CC BY 2.0,w
22251,CC BY-SA 3.0,w
22352,OGL,w
22484,Public domain,w
22517,CC BY-SA 3.0,w
22549,CC BY-SA 3.0,w
22575,CC BY-SA 3.0,w
22597,CC BY-SA 3.0,w
22612,CC BY-SA 3.0,w
22615,CC BY-SA 4.0,w
22623,CC BY-SA 3.0,w
22646,OGL,w
22650,Public domain,w
22652,CC BY 2.0,w
24691,CC BY 3.0,p
24709,CC BY 3.0,p
24710,CC BY 3.0,p
24711,CC BY 3.0,p
24713,CC BY 3.0,p
24714,CC BY-SA 4.0,w
24715,CC BY-SA 4.0,w
24716,CC BY 3.0,w
24717,CC BY-SA 2.0,w
24719,CC BY 2.0,w
24720,CC BY 3.0,p
24721,CC BY 3.0,p
24723,CC BY-SA 2.0,w
24725,CC BY 2.0,w
24726,OGL,w
24728,CC BY 3.0,p
24729,CC BY 3.0,p
24730,CC BY-SA 2.0,w
24731,CC BY 3.0,p
24732,CC BY 3.0,p
24733,@greggmcclymont,
24734,CC BY-SA 2.0,w
24735,CC BY-SA 2.0,w
24736,CC BY 3.0,p
24737,CC BY-SA 3.0,w
24738,CC BY-SA 2.0,w
24739,CC BY 2.0,w
24740,OGL,w
24741,CC BY 3.0,p
24742,CC BY 3.0,p
24743,CC BY 3.0,p
24744,CC BY 3.0,p
24745,CC BY 3.0,p
24747,CC BY-SA 2.0,w
24748,CC BY-SA 3.0,w
24749,CC BY 3.0,p
24750,CC BY 2.0,w
24754,CC BY 3.0,p
24756,OGL 3,w
24757,CC BY-SA 3.0,w
24758,CC BY 3.0,p
24759,CC BY 3.0,p
24761,CC0,w
24762,@MichaelDugher,
24764,CC BY 3.0,p
24765,CC BY 3.0,p
24766,CC BY 2.0,w
24767,CC BY 3.0,p
24769,CC BY 3.0,w
24770,CC BY 3.0,p
24771,OGL,w
24772,CC BY 3.0,p
24773,CC BY 2.0,w
24774,CC BY 3.0,p
24775,CC BY 3.0,p
24777,CC BY 2.0,w
24778,OGL,w
24779,CC BY 3.0,p
24780,CC BY 3.0,p
24782,CC BY 3.0,p
24784,CC BY 3.0,p
24785,CC BY 3.0,p
24786,CC BY 3.0,w
24788,@ShabanaMahmood,
24789,CC BY 3.0,p
24790,@karlmccartney,
24792,CC BY 2.0,w
24793,CC BY-SA 3.0,w
24794,CC BY-SA 3.0,w
24795,CC BY 3.0,p
24796,CC BY 3.0,p
24797,CC BY 3.0,p
24798,CC BY 3.0,w
24799,CC BY 3.0,p
24802,CC BY 3.0,p
24803,CC BY 3.0,p
24804,CC BY 3.0,p
24805,CC BY 3.0,p
24807,CC BY 3.0,p
24808,@SimonDanczuk,
24809,CC BY-SA 3.0,w
24811,CC BY 3.0,p
24813,CC BY 3.0,p
24814,CC BY 3.0,p
24815,CC BY 3.0,p
24816,CC BY 3.0,p
24817,CC BY 3.0,p
24818,CC BY 3.0,p
24819,CC BY-SA 3.0,w
24820,CC BY 3.0,p
24821,CC BY 3.0,p
24822,CC BY 3.0,p
24824,CC BY 3.0,p
24825,CC BY 3.0,p
24826,CC BY 3.0,p
24827,CC BY 3.0,p
24829,CC BY 3.0,p
24830,CC BY 3.0,p
24831,CC BY 3.0,p
24832,CC BY 3.0,p
24833,CC BY 3.0,w
24835,CC BY 3.0,w
24837,CC BY 3.0,p
24839,CC BY 3.0,p
24840,CC BY 2.0,w
24841,CC BY 3.0,p
24843,CC BY 3.0,p
24844,GFDL,w
24845,CC BY 3.0,p
24847,CC BY 3.0,p
24848,CC BY-SA 3.0,w
24849,CC BY 2.0,w
24850,CC BY-SA 3.0,w
24851,CC BY 3.0,p
24852,CC BY 3.0,p
24853,CC BY 3.0,p
24854,CC BY 2.0,w
24855,CC BY 3.0,p
24856,CC BY 2.0,w
24857,CC BY 3.0,p
24858,CC BY-SA 4.0,w
24859,CC BY-SA 3.0,w
24860,CC BY 2.0,w
24862,CC BY 3.0,p
24863,CC BY-SA 3.0,w
24864,CC BY 3.0,p
24865,CC BY-SA 3.0,w
24866,CC BY 3.0,p
24868,CC BY 2.0,w
24870,CC BY 3.0,p
24871,CC BY 3.0,p
24872,CC BY 3.0,p
24873,CC BY 2.0,w
24874,CC BY-SA 3.0,w
24876,CC BY 3.0,p
24877,@DNuttall,
24878,CC BY 3.0,p
24879,CC BY 3.0,p
24880,CC BY 3.0,p
24881,CC BY 2.0,w
24882,CC BY 3.0,p
24883,@GrahamEvans,
24884,CC BY 3.0,p
24886,Public domain,w
24887,CC BY-SA 3.0,w
24888,CC BY 3.0,p
24889,Public domain,w
24891,@CharlotteLeslie,
24892,CC BY 2.0,w
24893,CC BY 3.0,p
24895,Public domain,w
24896,CC BY 3.0,p
24897,CC BY-SA 4.0,w
24898,CC BY-SA 3.0,w
24899,CC BY 2.0,w
24900,CC BY-SA 2.0,w
24901,CC BY 3.0,p
24902,CC BY 3.0,p
24904,CC BY 3.0,p
24905,CC BY 3.0,p
24907,CC BY 3.0,p
24909,@Mark_Spencer,
24911,CC BY 3.0,p
24912,CC BY 3.0,p
24914,CC BY 3.0,p
24916,CC BY 3.0,p
24917,CC BY-SA 2.0,w
24918,CC BY-SA 2.0,w
24919,CC BY 3.0,p
24920,CC BY 3.0,p
24921,CC BY 3.0,p
24922,CC BY 2.0,w
24924,CC BY 3.0,p
24926,CC BY 3.0,p
24927,CC BY 3.0,p
24929,CC BY 3.0,p
24930,CC BY-SA 3.0,w
24932,OGL 3,w
24933,CC BY 3.0,p
24935,CC BY-SA 4.0,w
24936,CC BY 3.0,p
24938,CC BY 3.0,w
24941,CC BY 3.0,p
24942,CC BY-SA 3.0,w
24943,CC BY 3.0,p
24944,CC BY 3.0,p
24945,CC BY 3.0,p
24946,CC BY 2.0,w
24947,CC BY 3.0,p
24948,OGL,w
24949,CC BY 3.0,p
24950,CC BY 3.0,p
24953,CC BY 3.0,p
24954,CC BY 3.0,p
24955,CC BY 3.0,p
24956,CC BY 3.0,p
24957,CC BY 3.0,p
24958,CC BY 3.0,p
24959,CC BY 2.0,w
24961,CC BY 3.0,p
24962,CC BY 3.0,p
24963,CC BY 3.0,p
24964,CC BY 3.0,p
24965,CC BY 3.0,p
24966,CC BY 3.0,p
24967,Public domain,w
25034,CC BY 2.0,w
25067,CC BY 3.0,p
25120,CC BY-SA 3.0,w
25150,CC BY 2.0,w
25165,CC BY 3.0,w
25166,CC BY 3.0,p
25168,CC BY 3.0,p
25169,CC BY 3.0,p
25170,CC BY 3.0,p
25181,CC BY 3.0,p
25220,CC BY 3.0,p
25227,CC BY 3.0,p
25230,CC BY 3.0,p
25268,CC BY 3.0,p
25269,CC BY 3.0,p
25270,CC BY 3.0,p
25271,CC BY 3.0,p
25272,CC BY 3.0,p
25273,CC BY 3.0,p
25275,CC BY 2.0,w
25276,CC BY 3.0,p
25277,CC BY 3.0,p
25278,Public domain,w
25279,CC BY 3.0,p
25280,CC BY 3.0,p
25281,CC BY-SA 4.0,w
25282,CC BY 3.0,p
25283,CC BY 3.0,p
25284,CC BY 3.0,p
25285,CC BY 3.0,p
25286,@RogMull,
25287,@MargaretFerrier,
25288,CC BY 3.0,p
25289,CC BY 3.0,p
25290,CC BY 3.0,p
25291,CC BY 3.0,p
25293,CC BY 3.0,p
25294,@kirstenoswald,
25295,CC BY 3.0,p
25296,CC BY-SA 4.0,w
25297,CC BY 3.0,p
25298,CC BY 3.0,p
25299,CC BY 3.0,p
25300,CC BY 3.0,p
25301,CC BY-SA 4.0,w
25304,CC BY 3.0,w
25305,CC BY 3.0,p
25306,CC BY 3.0,p
25307,CC BY 3.0,p
25308,CC BY 3.0,p
25309,CC BY 3.0,p
25310,CC BY 3.0,p
25313,CC BY 3.0,p
25314,CC BY 3.0,p
25315,@PhilBoswellSNP,
25316,CC BY 3.0,p
25318,CC BY 3.0,p
25319,CC BY 3.0,p
25320,CC BY 3.0,p
25321,CC BY 3.0,p
25322,CC BY 3.0,w
25323,CC BY 3.0,p
